participant_id	SFS_Q1_LIVEWHERE	SFS_Q2_LIVEWHO	SFS_Q3A_WKDAYGMT	SFS_Q3A_CODE	SFS_Q3B_WKENDGMT	SFS_Q3B_CODE	SFS_Q4_ALONE	SFS_Q5_START	SFS_Q6_LEAVE	SFS_Q7_REACT	SFS_Q8_FRIENDS	SFS_Q9_PARTNER	SFS_Q10_RATIONAL	SFS_Q11_TALK	SFS_Q12_01	SFS_Q12_02	SFS_Q12_03	SFS_Q12_04	SFS_Q12_05	SFS_Q12_06	SFS_Q12_07	SFS_Q12_08	SFS_Q12_09	SFS_Q12_10	SFS_Q12_11	SFS_Q12_12	SFS_Q12_13	SFS_Q12_14	SFS_Q12_15	SFS_Q12_16	SFS_Q12_17	SFS_Q12_18	SFS_Q12_19	SFS_Q12_20	SFS_Q12_21	SFS_Q12_22	SFS_Q12_23	SFS_Q12_24	SFS_Q12_25	SFS_Q12_26	SFS_Q12_27	SFS_Q12_28	SFS_Q12_29	SFS_Q12_30	SFS_Q12_31	SFS_Q12_32	SFS_Q12_33	SFS_Q12_34	SFS_Q12_35	SFS_Q12_36	SFS_Q12_37	SFS_Q12_38	SFS_Q12_39	SFS_Q12_40	SFS_Q12_41	SFS_Q12_42	SFS_Q12_43	SFS_Q12_44	SFS_Q12_45	SFS_Q12_46	SFS_Q12_47	SFS_Q12_48	SFS_Q12_49	SFS_Q12_50	SFS_Q13_01	SFS_Q13_02	SFS_Q13_03	SFS_Q13_04	SFS_Q13_05	SFS_Q13_06	SFS_Q13_07	SFS_Q13_08	SFS_Q13_09	SFS_Q13_10	SFS_Q13_11	SFS_Q13_12	SFS_Q13_13	SFS_Q14	SFS_Q15A	SFS_Q15B	SFS_Q15C	SFS_Q15D	SFS_Q15E
sub-2122	Rental house	Roomates	10:00:00	1	13:00:00	2	1	2	3	2	15	1	3	0	2	2	3	2	1	2	2	3	2	3	1	1	3	1	0	0	3	2	3	2	1	1	3	1	0	0	2	0	1	0	1	1	0	1	1	2	0	1	1	2	2	1	0	2	1	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	n/a	n/a	n/a	n/a	n/a
sub-2124	Apartment	alone	08:00:00	0	08:30:00	0	1	0	3	3	30	0	3	0	2	3	3	2	2	2	2	3	3	2	1	1	3	0	0	0	3	0	3	3	1	1	3	1	1	3	2	0	1	0	1	1	0	1	1	1	0	1	1	1	0	2	0	0	1	1	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	n/a	n/a	n/a	n/a	n/a
sub-2125	sewickley	mother and step dad	08:30:00	0	09:30:00	1	3	2	2	1	15	0	3	2	2	2	3	2	2	1	2	3	0	3	2	1	3	0	0	0	3	1	3	2	1	1	2	1	0	2	1	1	1	1	0	0	0	0	1	2	0	1	2	2	1	1	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1 month ago	griller	42	0	2
sub-2128	Apartment	Roommates	08:45:00	0	10:00:00	1	1	2	3	2	10	0	3	0	2	3	3	1	3	2	3	3	2	3	2	3	3	0	0	0	3	3	2	3	1	0	3	0	0	1	1	1	1	0	1	0	0	0	1	2	2	1	0	2	2	1	0	0	1	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	n/a	n/a	n/a	n/a	n/a
sub-2129	Apartment	Roommate	08:40:00	0	10:15:00	1	1	3	3	2	6	1	3	1	2	3	3	2	0	2	3	3	2	3	2	1	3	0	0	0	2	3	2	3	1	1	3	0	0	0	1	1	1	0	1	1	0	0	1	1	0	0	0	2	2	1	1	2	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	n/a	n/a	n/a	n/a	n/a
sub-2131	braddock	mom	n/a	1	n/a	2	4	1	2	0	12	1	2	2	2	0	3	2	0	0	1	2	3	1	2	1	3	0	0	0	0	3	3	3	2	2	3	0	0	2	2	2	1	2	2	2	0	0	2	0	1	1	1	1	0	0	0	1	2	1	1	2	2	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	summer	cooking	n/a	0	2
sub-2133	Dorm	One roommate	08:00:00	0	12:00:00	2	0	0	3	1	4	1	3	1	2	1	3	1	2	0	0	2	2	3	1	1	3	0	0	0	2	2	3	0	1	0	3	1	0	2	1	0	1	1	0	0	1	0	1	0	0	1	1	3	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	n/a	n/a	n/a	n/a	n/a
sub-2134	hospital	other patients	n/a	1	n/a	2	3	2	2	1	0	1	2	2	1	1	3	2	1	0	1	3	0	1	0	0	3	0	0	1	1	1	1	1	1	1	3	0	1	1	0	3	1	1	1	1	1	0	1	1	0	0	1	2	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	server/milkshake job	food service	32	0	2
sub-2135	lower burrell	mom and dad	07:30:00	0	08:30:00	0	0	3	3	1	0	0	2	2	0	1	3	0	0	0	0	0	0	1	0	0	3	1	0	0	3	3	3	0	0	1	3	0	2	2	3	1	1	0	0	2	0	0	1	0	0	1	1	1	1	0	0	0	1	3	0	0	3	1	2	2	2	0	1	2	1	0	0	1	2	1	0	0	n/a	n/a	n/a	n/a	n/a
sub-2136	house	roomates	09:00:00	0	09:30:00	1	2	2	3	2	7	0	2	2	2	3	3	1	2	1	3	3	2	3	3	0	2	0	0	0	2	2	3	3	0	0	2	1	0	1	2	0	1	1	2	2	0	0	2	1	0	1	0	2	1	0	1	0	1	2	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	n/a	n/a	n/a	n/a	n/a
sub-2137	apartment	my wife and children	08:30:00	0	08:00:00	0	0	3	0	2	5	1	3	0	1	3	3	0	0	1	1	1	0	2	2	1	3	0	0	0	2	2	2	0	1	1	1	1	0	0	1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	1	2	3	0	0	1	0	0	1	0	0	0	0	0	0	0	n/a	n/a	n/a	n/a	n/a
sub-2138	apartment	girlfriend	08:00:00	0	09:00:00	1	1	0	0	1	0	1	2	3	2	2	3	2	3	1	2	3	0	3	0	1	2	0	0	0	3	0	3	2	1	1	2	2	0	1	1	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	n/a	n/a	n/a	n/a	n/a
sub-2141	Mckees Rocks	mother, sister	09:00:00	1	08:30:00	0	2	2	2	1	6	0	1	3	1	3	2	2	2	2	1	1	2	1	1	1	1	0	1	0	1	3	3	1	2	0	1	0	1	0	1	1	1	1	0	0	0	0	1	1	0	1	0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	2	n/a	n/a	n/a	n/a	n/a
sub-2142	Apartment	Roommates	08:00:00	0	09:30:00	1	1	3	3	3	7	0	3	0	2	3	3	3	3	2	2	3	3	3	3	1	3	0	0	0	3	0	3	2	1	1	3	2	0	0	1	0	1	1	1	1	1	0	1	1	0	1	1	3	2	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	n/a	n/a	n/a	n/a	n/a
sub-2143	latrobe, pa	father	07:00:00	0	10:00:00	1	1	1	1	2	2	1	2	2	2	3	2	2	3	2	3	3	3	3	2	0	3	1	0	0	2	3	2	3	1	1	3	2	0	1	2	1	0	0	2	3	0	0	1	0	0	1	1	1	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	n/a	n/a	n/a	n/a	n/a
sub-2149	House	Fiance	07:45:00	0	09:15:00	1	1	3	2	1	4	1	3	1	2	2	3	2	3	2	2	3	0	3	3	1	3	0	0	2	2	3	3	2	1	1	2	1	0	1	1	0	1	1	1	1	0	0	1	0	0	1	0	2	1	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	n/a	n/a	n/a	n/a	n/a
sub-2171	wexford	friend	n/a	0	n/a	0	0	2	0	1	0	1	3	2	2	2	2	2	0	1	2	0	0	0	1	1	2	0	0	0	1	3	3	2	2	1	1	0	0	0	1	0	1	1	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	1	0	6	Army	National Guard	3	1	0
sub-2174	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-2176	pa	mother, girlfriend, daughter	n/a	1	n/a	2	0	2	3	2	4	1	2	1	3	3	3	1	2	2	0	1	0	3	1	1	1	0	0	0	2	2	2	0	0	2	2	2	0	0	2	0	2	0	0	0	0	0	2	1	1	0	3	1	1	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	n/a	n/a	n/a	n/a	n/a
sub-2177	apartment	Mom, Dad, Sister	06:30:00	0	09:45:00	1	1	3	3	3	7	1	3	0	2	0	3	1	2	2	1	3	0	3	3	1	3	3	3	0	2	1	3	1	3	1	3	0	0	3	2	3	1	1	1	1	0	1	2	1	0	2	0	2	2	1	1	1	0	1	0	2	2	2	1	0	0	1	0	1	1	0	0	0	0	0	0	1	n/a	n/a	n/a	n/a	n/a
sub-2178	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-2179	pittsburgh	one roommate, friend, also grad student at pitt	09:30:00	1	10:00:00	1	1	2	2	2	2	1	3	2	3	3	3	1	1	2	2	3	1	3	1	1	3	1	0	0	3	3	3	2	1	1	2	2	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	2	1	1	0	0	1	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	n/a	n/a	n/a	n/a	n/a
sub-2187	pittsburgh	friend	n/a	1	n/a	2	3	1	3	0	10	0	2	4	2	2	3	1	1	2	1	3	3	3	3	0	3	0	0	0	3	1	3	1	1	1	3	0	0	1	0	1	1	0	1	0	1	0	2	1	0	2	2	1	1	1	0	1	0	0	0	0	2	0	0	0	0	1	1	0	0	0	1	0	1	1	0	1	n/a	n/a	n/a	n/a	n/a
sub-2193	House	Father, Father's girlfriend, Brother, Sister	10:00:00	1	11:00:00	2	1	2	3	2	50	1	3	0	3	2	3	2	2	0	1	3	0	3	2	1	3	0	0	0	3	3	3	1	1	1	0	3	1	1	1	0	2	0	1	2	0	1	1	1	0	1	0	3	1	1	0	0	1	3	1	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	n/a	n/a	n/a	n/a	n/a
sub-2195	munhall	mother	n/a	0	n/a	0	0	2	2	2	0	0	2	1	3	3	3	2	3	1	3	3	0	3	2	0	3	0	0	2	3	3	3	3	0	0	3	3	0	3	3	0	0	0	0	0	0	0	0	3	2	1	1	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	n/a	n/a	n/a	n/a	n/a
sub-2196	house	mom and sister	09:00:00	1	10:30:00	1	1	3	2	2	5	1	3	1	2	3	3	2	3	2	3	3	1	3	3	1	3	0	0	2	3	3	3	3	3	1	3	2	1	2	1	2	0	0	0	0	1	0	1	1	0	0	2	2	2	0	0	0	1	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	n/a	n/a	n/a	n/a	n/a
sub-2197	forest hills pa	fiance and son	06:00:00	0	08:30:00	0	1	3	3	3	3	1	3	0	2	3	3	2	3	2	1	3	0	1	2	1	3	1	0	1	3	2	3	1	0	1	3	1	0	3	0	0	2	0	0	0	1	0	1	2	0	1	1	1	0	1	0	0	0	3	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	n/a	n/a	n/a	n/a	n/a
sub-2199	Apartment	Roommate	06:15:00	0	08:00:00	0	1	2	2	2	10	0	3	0	2	3	3	2	3	2	3	3	3	3	2	2	3	0	0	1	3	3	3	3	2	2	3	0	0	2	2	0	1	0	1	1	0	0	1	1	0	1	0	2	2	0	0	1	1	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	n/a	n/a	n/a	n/a	n/a
sub-2213	House	Parents	07:45:00	0	10:00:00	1	1	3	3	2	5	1	3	1	2	2	3	2	1	2	2	3	1	3	2	1	3	0	0	1	3	2	1	1	1	1	3	2	0	2	2	2	1	0	1	2	0	0	1	2	0	1	1	3	1	1	0	0	0	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	n/a	n/a	n/a	n/a	n/a
sub-2218	apartment on campus	6 people	06:30:00	0	06:30:00	0	2	3	3	2	8	0	3	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	0	3	2	3	3	0	1	3	0	0	2	1	3	0	0	0	0	1	0	1	2	1	0	0	2	0	0	0	0	1	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	n/a	n/a	n/a	n/a	n/a
sub-2221	house	parents	09:00:00	0	10:00:00	0	1	3	3	2	8	1	3	1	1	1	2	2	3	0	2	3	0	2	2	1	3	0	0	0	2	3	3	3	2	2	3	1	1	2	1	2	2	1	2	2	1	1	2	1	0	1	1	2	1	1	0	1	1	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	n/a	n/a	n/a	n/a	n/a
sub-2222	House	3 Roommates	09:30:00	1	09:30:00	1	3	2	2	2	15	1	2	1	3	3	3	2	3	3	3	3	3	3	3	3	3	3	0	1	3	2	2	3	2	2	3	2	1	3	3	2	0	0	0	0	1	1	2	1	0	1	1	3	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	n/a	n/a	n/a	n/a	n/a
sub-2223	house	mom dad sister	06:30:00	0	09:15:00	1	1	3	2	2	6	0	2	1	1	1	2	1	0	0	1	0	0	1	0	1	0	0	0	1	1	0	3	2	1	0	1	1	0	1	1	1	1	0	0	1	1	0	1	0	0	1	1	2	1	0	0	0	1	0	0	0	1	2	3	3	3	2	0	3	3	2	1	1	3	2	2	0	n/a	n/a	n/a	n/a	n/a
sub-2140A	house	parents	12:30:00	2	13:30:00	3	1	2	3	2	5	0	3	1	2	2	3	2	2	0	0	3	2	2	2	0	3	0	0	0	3	1	3	0	0	0	3	0	0	2	1	1	1	1	0	0	1	1	2	2	0	1	0	2	1	0	1	1	2	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	n/a	n/a	n/a	n/a	n/a
sub-2170A	apartment	girlfriend and her daughter	n/a	0	n/a	2	3	3	2	1	0	1	1	2	1	2	1	2	0	1	1	1	3	3	1	1	1	0	0	1	3	3	1	1	1	1	3	3	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	1	1	0	1	0	0	0	3	3	0	0	0	2	0	2	0	6	2014	maintenance	40	2	1
sub-2174A	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-2176A	pa	mother, girlfriend, daughter	n/a	1	n/a	2	0	2	3	2	4	1	2	1	3	3	3	1	2	2	0	1	0	3	1	1	1	0	0	0	2	2	2	0	0	2	2	2	0	0	2	0	2	0	0	0	0	0	2	1	1	0	3	1	1	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	n/a	n/a	n/a	n/a	n/a
sub-2177A	apartment	Mom, Dad, Sister	06:30:00	0	09:45:00	1	1	3	3	3	7	1	3	0	2	0	3	1	2	2	1	3	0	3	3	1	3	3	3	0	2	1	3	1	3	1	3	0	0	3	2	3	1	1	1	1	0	1	2	1	0	2	0	2	2	1	1	1	0	1	0	2	2	2	1	0	0	1	0	1	1	0	0	0	0	0	0	1	n/a	n/a	n/a	n/a	n/a
sub-2184A	house	mother	n/a	0	n/a	0	1	0	3	1	5	0	1	2	2	3	2	2	1	2	2	3	3	2	2	1	1	1	1	1	3	3	3	2	2	1	3	1	1	1	1	2	1	1	1	1	1	0	0	3	1	1	1	1	1	1	1	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	n/a	server,cashier	25	1	3
sub-2193A	House	Father, Father's girlfriend, Brother, Sister	10:00:00	1	11:00:00	2	1	2	3	2	50	1	3	0	3	2	3	2	2	0	1	3	0	3	2	1	3	0	0	0	3	3	3	1	1	1	0	3	1	1	1	0	2	0	1	2	0	1	1	1	0	1	0	3	1	1	0	0	1	3	1	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	n/a	n/a	n/a	n/a	n/a
sub-2214A	Apartment	Partner	10:00:00	1	10:00:00	1	1	2	2	2	6	0	3	1	2	3	3	2	3	1	3	3	1	3	2	1	3	2	0	0	3	2	3	3	1	1	2	0	0	1	1	3	2	1	1	1	1	1	2	1	2	1	1	2	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	n/a	n/a	n/a	n/a	n/a
sub-2217A	apartment	self	07:45:00	0	08:30:00	1	2	2	1	2	2	0	3	1	1	2	3	2	2	1	3	3	1	2	2	0	3	0	0	0	3	0	2	3	1	0	3	1	0	1	1	0	1	1	0	0	0	0	2	2	0	1	1	0	0	1	0	0	0	0	2	0	0	2	3	1	1	0	0	1	0	0	0	0	0	3	0	1	October	prep of food	20	0	1
sub-2221A	house	parents	09:00:00	0	10:00:00	0	1	3	3	2	8	1	3	1	1	1	2	2	3	0	2	3	0	2	2	1	3	0	0	0	2	3	3	3	2	2	3	1	1	2	1	2	2	1	2	2	1	1	2	1	0	1	1	2	1	1	0	1	1	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	n/a	n/a	n/a	n/a	n/a